study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
proteogenomics uncovers a vast repertoire of shared tumor-specific antigens in ovarian cancer,neoplasm (disease),null,null,ovarian cancer,null
rescue of fragile x syndrome neurons by dna methylation editing of the fmr1 gene [rna-seq],fragile x syndrome,null,null,fragile x syndrome,rna
ribometh-seq raw sequence reads,null,null,null,null,null
"rna-seq analysis of calotropis gigantea leaf extract treated with hela, mcf7 and a549 cancer cell lines.",cancer,leaf,malignant cell,cancer,rna
rna-seq of znf417/znf587 kd or control h1 cells,null,null,null,null,rna
rnaseq changes in human fibroblasts after treatment with e16.5 skin extract,skin neoplasm,skin,skin of body,human,treatment
role of bet proteins in yap/taz-dependent transcription [rna-seq 2],null,null,rostral octaval nerve motor nucleus,null,role
safb1 iclip in shsy-5y cells,null,null,null,null,null
similarity  of therapeutic networks induced by a multi-component herbal remedy in neurovascular unit cells,null,null,null,null,null
simultaneous multiplexed amplicon sequencing and transcriptome profiling in single cells,null,null,null,null,null
spliceosomal disruption of the non-canonical baf complex in cancer,cancer,null,null,cancer,null
stem cell-associated heterogeneity in glioblastoma results from intrinsic tumor plasticity shaped by the microenvironment,adult glioblastoma,stem,stem cell,cell,null
survival of pancreatic cancer cells lacking kras function,malignant pancreatic neoplasm,null,null,pancreatic cancer,function
the human cellular nucleic acid binding protien binds g-rich elements close to translation initiation sires and promotes translation. [rna-seq],rapidly involuting congenital hemangioma,null,null,human,nucleic acid
transcriptional profiling of cd45ro+cd57+cd4+ t cells,null,null,null,null,null
transcriptome profiling of hepg2 cells upon treatment of the menin-mll inhibitor mi-503 or dmso,null,null,null,null,treatment
translation-dependent displacement of upf1 from coding sequences causes its enrichment in 3’ utrs,null,null,null,null,null
whole-transcriptome maps of hepg2 cells after exposure to cationic liposomes and controls,null,null,null,null,null
zikv infection increases huvecs endothelial barrier permeability and activates inflammatory cytokines,infectious disease,null,null,infection,null
19-36 nt long ncrna sequences from total rna of hela and hek-293 cells,null,null,null,null,rna
2-5a-mediated mrna decay and transcription act in concert to reprogram protein synthesis during dsrna response,null,null,protein,protein,protein
"a compendium of hematopoietic regulators, chromatin modifiers and basal transcription factors occupy cbf?-myh11/runx1 target genes",null,null,null,null,null
a compendium of promoter-centered long-range chromatin interactions in diverse human tissues and cell types,null,null,cell,interactions,null
a dynamic h3k27ac signature defines vegf-regulated endothelial enhancers,endotheliitis,null,null,null,null
a high-throughput screen reveals sall4-induced oxidative phosphorylation vulnerabilities in cancer,cancer,null,null,cancer,null
a single-cell rna-seq of human hepatocyte-derived liver progenitor-like cells,null,hepatocyte,cell,cell,rna
a splicing switch of tead4 regulates hippo-yap signaling pathway to inhibit tumor proliferation,neoplasm (disease),null,signaling,null,null
a variety of dicer substrates in human and c. elegans (hek rna-seq),null,null,null,human,rna
"acquired resistance mechanisms to capmatinib, a met inhibitor in met-amplified non-small cell lung cancer cells",acquired,lung,cell,non-small cell lung cancer,null
adaptive mutability of colorectal cancer cells in response to targeted therapies,colorectal cancer,null,null,colorectal cancer,null
an ar-erg co-mediated chromatin interactome defines the transcriptional network in prostate cancer cells,prostate cancer,prostate gland,prostate gland,prostate cancer,null
an optically decodable bead array for linking imaging and sequencing with single-cell resolution,null,null,cell,cell,null
analysis of allele specific expression and its chromatin state to identify genes that are escaping x chromosome inactivation,null,null,null,null,null
arginine methylation controls cell proliferation by integrating e2f activity with the splicing machinery (rip-seq data set),null,null,cell,cell,arginine
atac-me captures spatiotemporal dynamics of dna methylation across the chromatin accessible genome,null,null,null,null,null
"bart-seq: cost-effective massively parallelized targeted sequencing for genomics, transcriptomics, and single cell analysis [pluripotency]",null,null,cell,cell,null
bioinformatics analysis of micrornas related to blood stasis syndrome in diabetes mellitus patients,blind loop syndrome,blood,blood,stasis syndrome,null
brca1 intronic alu elements drive gene rearrangements and parp inhibitor resistance,null,null,null,null,atom
canonical poly(a) polymerase activity promotes the decay of a wide variety of mammalian nuclear rnas,null,null,neutrophil,activity,null
capturing the interactome of newly transcribed rna (rick),null,null,null,null,rna
cbfß-smmhc affects genome-wide polycomb repressive complex 1 activity in acute myeloid leukemia,acute myeloid leukemia,null,null,activity,null
cbx4 role in u2os/mtx300,null,null,rostral octaval nerve motor nucleus,null,role
cd95l mrna is toxic to cells [smallrna_agopulldowncd95l_50hrs_heya8_cd95ko],null,null,null,null,null
cell fixation and preservation for droplet-based single cell transcriptomics,null,null,cell,cell,null
"cell hashing enable sample multiplexing, multiplet identification and super-loading on droplet-based single cell rna-sequencing platforms",null,null,cell,cell,rna
chaetocin mediated changes in gene expression profile of gbm cells,glioblastoma (disease),null,glomerular basement membrane,null,null
chemical modifications mark alternatively spliced and actively degrading messenger rnas in arabidopsis and humans,null,null,null,chemical,null
chemical screen identifies a geroprotective role of quercetin in premature and physiological aging,null,null,rostral octaval nerve motor nucleus,chemical,role
chromatin run-on and sequencing maps the transcriptional regulatory landscape of glioblastoma multiforme,glioma susceptibility 1,null,null,glioblastoma multiforme,null
circnfib suppresses lymphatic metastasis of pancreatic cancer,malignant pancreatic neoplasm,null,null,metastasis,null
circular rnas are super abundant in cervical tumor and plasma detected by high throughput microarray [rna-seq],uterine cervix neoplasm,blood plasma,blood plasma,null,rna
circulating traveling waves rapidly pace and mature hipsc-derived cardiomyocytes in self-organized tissue ring,null,null,tissue,tissue,null
co-regulation of alternative splicing by hnrnpm and esrp1 during emt,null,null,thalamic eminence,null,null
comprehensive identification and characterization of the binding sites in dld-1 cells cultured under 1% oxygen,null,null,null,null,binding
comprehensive identification and characterization of the binding sites in dld-1 cells cultured under 21% oxygen,null,null,null,null,binding
comprehensive identification and characterization of the binding sites in tig-3 cells cultured under 1% oxygen,null,null,null,null,binding
control of human hemoglobin switching by lin28b-mediated regulation of bcl11a translation [rip-seq],null,null,null,human,null
conventional and neo-antigenic peptides naturally processed and presented by beta cells are targeted by circulating naïve cd8+ t cells in type 1 diabetic and healthy donors,null,null,null,diabetic,peptide
cpeb1 coordinates alternative 3utr,null,null,null,null,null
deduction of novel genes potentially involved in osteoblasts of rheumatoid arthritis using next-generation sequencing and bioinformatic approaches,rheumatoid arthritis,null,null,rheumatoid arthritis,null
development of novel patient derived xenografts from breast cancer brain metastases,breast cancer,breast,breast,breast cancer,null
dhx36 resolves g-rich structures in mrna untranslated region to allow their translation [par-clip-seq],rapidly involuting congenital hemangioma,null,null,null,null
diagnostic utility of high quality rna in diverse clinical semen and sperm samples,null,semen,quality,null,quality
different roles of e proteins in t(8;21) leukemia: e2-2 compromises the function of aetfc and negatively regulates leukemogenesis,childhood leukemia,null,null,leukemia,proteins
differential expression analysis from mv4-11 cells treated with or without apto-253 for 6 hours.,null,null,null,null,null
differential gene expression between atra treated and control hl-60 cells [rna-seq],null,null,null,null,rna
discovery of pan-histone acetyltransferase inhibitors with potent antitumor activity in vivo,polyarteritis nodosa,null,pan,activity,null
disruption of the tfap2a regulatory domain causes branchio-oculo-facial syndrome (bofs) and illuminates pathomechanisms for other human neurocristopathies [rna-seq data set 1],branchiooculofacial syndrome,null,null,human,rna
downstream target screening of topbp1 in differentiated hpv-positive keratinocytes,null,null,hepatic portal vein,null,null
dysregulated neutrophil responses and neutrophil extracellular trap formation and degradation in papa syndrome,pyogenic arthritis-pyoderma gangrenosum-acne syndrome,neutrophil,neutrophil,neutrophil extracellular trap formation,null
dysregulated rpb1 is a targetable master driver of overgrowth  in acute myeloid leukemia.,acute myeloid leukemia,null,null,acute myeloid leukemia,null
effect daunorubicin treatment on the transcriptome of hct116 cells [rna-seq],null,null,null,null,daunorubicin
effect for target mrna degradation by methylated micrornas,null,null,null,null,null
